	Novel	Characters	# of Re-Occurring Characters
10	An Historical Mystery	['Corentin', 'Lefebvre, Robert', 'Marion (of Arcis)', 'Rastignac, Eugene de', 'Grandlieu, Duc Ferdinand de', 'Simeuse, Admiral de', 'Varlet', 'Espard, Jeanne-Clementine-Athenais de Blamont-Chauvry, Marquise d’', 'Goujet, Abbe', 'Maufrigneuse, Georges de', 'Gothard', 'Marsay, Henri de', 'Michu, Madame Francois', 'Peyrade', 'Talleyrand-Perigord, Charles-Maurice de', 'Bonaparte, Lucien', 'Bordin', 'Murat, Joachim, Prince', 'Marion (brother)', 'Maufrigneuse, Berthe de', 'Gondreville, Malin, Comte de', 'Michu, Francois', 'Steingel', 'Derville', 'Duroc, Gerard-Christophe-Michel', 'Hauteserre, D’', 'Berthier, Alexandre', 'Grevin', 'Maufrigneuse, Duchesse de', 'Giguet, Colonel', 'Cinq-Cygne, Laurence, Comtesse (afterwards Marquise de)', 'Granville, Vicomte de', 'Vandenesse, Comte Felix de', 'Fouche, Joseph', 'Navarreins, Duc de', 'Regnier, Claude-Antoine', 'Lenoncourt, Duc de', 'Rapp', 'Louis XVIII., Louis-Stanislas-Xavier']	39
22	Father Goriot	['Maurice (de Restaud’s valet)', 'Collin, Jacques', 'Tissot, Pierre-Francois', 'Beauseant, Marquis', 'Rastignac, Eugene de', 'Rastignac, Baron and Baronne de (Eugene’s parents)', 'Jacques (M. de Beauseant’s butler)', 'Restaud, Comtesse Anastasie de', 'Nucingen, Baronne Delphine de', 'Taillefer, Victorine', 'Marsay, Henri de', 'Therese', 'Nucingen, Baron Frederic de', 'Beauseant, Vicomte de', 'Montriveau, General Marquis Armand de', 'Rastignac, Monseigneur Gabriel de', 'Restaud, Comte de', 'Franchessini, Colonel', 'Trailles, Comte Maxime de', 'Beauseant, Vicomtesse de', 'Taillefer, Jean-Frederic', 'Poiret, Madame (nee Christine-Michelle Michonneau)', 'Derville', 'Poiret', 'Bibi-Lupin (chief of secret police, called himself Gondureau)', 'Ajuda-Pinto, Marquis Miguel d’', 'Gobseck, Jean-Esther Van', 'Rastignac, Laure-Rose and Agathe de', 'Selerier', 'Bianchon, Horace', 'Langeais, Duchesse Antoinette de', 'Carigliano, Marechal, Duc de', 'Galathionne, Princess']	33
5	A Start in Life	['Cabirolle, Madame', 'Gaudron, Abbe', 'Vandenesse, Marquis Charles de', 'Serizy, Comtesse de', 'Finot, Andoche', 'Canalis, Constant-Cyr-Melchior, Baron de', 'Godeschal, Francois-Claude-Marie', 'Lupin, Amaury', 'Desroches (son)', 'Coralie, Mademoiselle', 'Schinner, Hippolyte', 'Beaupre, Fanny', 'Loraux, Abbe', 'Marest, Georges', 'Bruel, Jean Francois du', 'Gondreville, Malin, Comte de', 'Bridau, Joseph', 'Cabirolle, Agathe-Florentine', 'Derville', 'Maufrigneuse, Duc de', 'Cardot, Jean-Jerome-Severin', 'Poiret, the elder', 'Grevin', 'Godeschal, Marie', 'Giroudeau', 'Marest, Frederic', 'Rouvre, Marquis du', 'Vandenesse, Comte Felix de', 'Lora, Leon de', 'Serizy, Comte Hugret de', 'Serizy, Vicomte de', 'Crottat, Alexandre', 'Grindot']	33
20	Eve and David	['Collin, Jacques', 'Conti, Gennaro', 'Rastignac, Eugene de', 'Rastignac, Baron and Baronne de (Eugene’s parents)', 'Nucingen, Baronne Delphine de', 'Chatelet, Marie-Louise-Anais de Negrepelisse, Baronne du', 'Sechard, David', 'Marsay, Henri de', 'Nucingen, Baron Frederic de', 'Prieur, Madame', 'Metivier', 'Hautoy, Francis du', 'Petit-Claud', 'Courtois', 'Rubempre, Lucien-Chardon de', 'Cerizet', 'Sechard, Madame David', 'Cointet, Jean', 'Chardon, Madame (nee Rubempre)', 'Herrera, Carlos', 'Milaud', 'Pimentel, Marquis and Marquise de', 'Victorine', 'Senonches, Jacques de', 'Chatelet, Sixte, Baron du', 'Postel', 'Courtois, Madame', 'Marron', 'Senonches, Madame Jacques de', 'Cointet, Boniface', 'Sechard, Jerome-Nicholas', 'Touches, Mademoiselle Felicite des']	32
30	Letters of Two Brides	"['Givry', 'Sallenauve, Comtesse de', 'Stael-Holstein (Anne-Louise-Germaine Necker), Baronne de', 'Maucombe, Comte de', 'Canalis, Constant-Cyr-Melchior, Baron de', 'Marsay, Henri de', 'Bruel, Claudine Chaffaroux, Madame du', ""Estorade, Louis, Chevalier, then Vicomte and Comte de l'"", 'Gaston, Marie', 'Chaulieu, Henri, Duc de', 'Lenoncourt-Givry, Duc de', 'Gaston, Louis', 'Talleyrand-Perigord, Charles-Maurice de', 'Beauseant, Marquise de', ""Esgrignon, Victurnien, Comte (then Marquis d')"", 'Mirbel, Madame de', 'Lenoncourt-Givry, Duchesse de', 'Nathan, Raoul', 'Mary', ""Espard, Jeanne-Clementine-Athenais de Blamont-Chauvry, Marquise d'"", 'Bridau, Joseph', ""Estorade, Madame de l'"", 'Chaulieu, Eleonore, Duchesse de', 'Dudley, Lady Arabella', 'Maufrigneuse, Duchesse de', 'Victorine', 'Bianchon, Horace', 'Vandenesse, Comte Felix de', 'Rhetore, Duc Alphonse de', ""Arthez, Daniel d'"", ""Estorade, Armand de l'""]"	31
75	Two Poets	['Negrepelisse, De', 'Gentil', 'Maucombe, Comte de', 'Rastignac, Baron and Baronne de (Eugene’s parents)', 'Chatelet, Marie-Louise-Anais de Negrepelisse, Baronne du', 'Sechard, David', 'Prieur, Madame', 'Sechard, Jerome-Nicolas', 'Bargeton, Madame de (see Chatelet, Baronne du)', 'Montriveau, General Marquis Armand de', 'Grozier, Abbe', 'Hautoy, Francis du', 'Petit-Claud', 'Courtois', 'Stanhope, Lady Esther', 'Rubempre, Lucien-Chardon de', 'Sechard, Madame David', 'Cerizet', 'Cointet, Jean', 'Chardon, Madame (nee Rubempre)', 'Letters of Two Brides', 'Pimentel, Marquis and Marquise de', 'Rastignac, Laure-Rose and Agathe de', 'Senonches, Jacques de', 'Chatelet, Sixte, Baron du', 'Postel', 'Courtois, Madame', 'Desplein', 'Senonches, Madame Jacques de', 'Cointet, Boniface']	30
53	The Collection of Antiquities	['Casteran, De', 'Ronceret, Madame du', 'Coudrai, Du', 'Marsay, Henri de', 'Leroi, Pierre', 'Camusot de Marville', 'Ronceret, Du', 'Thirion', 'Michu, Francois', 'Camusot de Marville, Madame', 'Scherbelloff, Princesse (or Scherbellof or Sherbelloff)', 'Blondet (Judge)', 'Troisville, Guibelin, Vicomte de', 'Esgrignon, Victurnien, Comte (then Marquis d’)', 'Herouville, Duc d’', 'Cardot (Parisian notary)', 'Blondet, Emile', 'Maufrigneuse, Duchesse de', 'Chesnel (or Choisnel)', 'Esgrignon, Charles-Marie-Victor-Ange-Carol, Marquis d’ (or Des Grignons)', 'Verneuil, Duc de', 'Ronceret, Fabien-Felicien du (or Duronceret)', 'Bousquier, Du (or Du Croisier or Du Bourguier)', 'Valois, Chevalier de', 'Esgrignon, Marie-Armande-Claire d’', 'Pamiers, Vidame de', 'Bousquier, Madame du (or du Croisier)', 'Blondet, Virginie', 'Lenoncourt, Duc de']	29
59	The Firm of Nucingen	['Beaudenord, Godefroid de', 'Grandet, Charles', 'Rastignac, Eugene de', 'Gobseck, Esther Van', 'Nucingen, Baronne Delphine de', 'Finot, Andoche', 'Nucingen, Baron Frederic de', 'Cochin, Adolphe', 'Desroches (son)', 'Matifat, Mademoiselle', 'Tillet, Ferdinand du', 'Taillefer, Jean-Frederic', 'Matifat, Madame', 'Bidault (known as Gigonnet)', 'Aiglemont, General, Marquis Victor d’', 'Palma (banker)', 'Blondet, Emile', 'Toby (Joby, Paddy)', 'Couture', 'Bixiou, Jean-Jacques', 'Cochin, Emile-Louis-Lucien-Emmanuel', 'Claparon, Charles', 'Werbrust', 'Matifat (wealthy druggist)', 'Cointet, Boniface', 'Grandet, Victor-Ange-Guillaume', 'Minard, Auguste-Jean-Francois', 'Falleix, Martin']	28
50	The Brotherhood of Consolation	['Casteran, De', 'Vernisset, Victor de', 'Mongenod', 'Bonaparte, Napoleon', 'Metivier (nephew)', 'Leroi, Pierre', 'Mongenod, Frederic', 'Haudry (doctor)', 'Lelewel', 'Bourlac, Bernard-Jean-Baptiste-Macloud, Baron de', 'Bordin', 'Nathan, Raoul', 'Tours-Minieres, Bernard-Polydor Bryond, Baron des', 'Cibot, Jean (alias Pille-Miche)', 'Barbet', 'La Chanterie, Baronne Henri le Chantre de', 'Troisville, Guibelin, Vicomte de', 'Popinot, Jean-Jules', 'Vissard, Charles-Amedee-Louis-Joseph Rifoel, Chevalier du', 'Champignelles, De', 'Chesnel (or Choisnel)', 'Montauran, Marquis de (younger brother of Alphonse de)', 'Cinq-Cygne, Laurence, Comtesse (afterwards Marquise de)', 'Bianchon, Horace', 'Marest, Frederic', 'Desplein', 'Cavalier', 'Louis XVIII., Louis-Stanislas-Xavier']	28
70	The Secrets of the Princesse de Cadignan	['Rastignac, Eugene de', 'Galathionne, Prince and Princess (both not in each story)', 'Espard, Jeanne-Clementine-Athenais de Blamont-Chauvry, Marquise d’', 'Maufrigneuse, Georges de', 'Marsay, Henri de', 'Nucingen, Baron Frederic de', 'Tillet, Ferdinand du', 'Cadignan, Prince de', 'Mirbel, Madame de', 'Nathan, Raoul', 'Trailles, Comte Maxime de', 'Giraud, Leon', 'Chrestien, Michel', 'Espard, Chevalier d’', 'Esgrignon, Victurnien, Comte (then Marquis d’)', 'Maufrigneuse, Duc de', 'Dudley, Lady Arabella', 'Blondet, Emile', 'Toby (Joby, Paddy)', 'Ajuda-Pinto, Marquis Miguel d’', 'Maufrigneuse, Duchesse de', 'Cinq-Cygne, Laurence, Comtesse (afterwards Marquise de)', 'Bianchon, Horace', 'Vandenesse, Comte Felix de', 'Rochefide, Marquise de', 'Navarreins, Duc de', 'Arthez, Daniel d’', 'Blondet, Virginie']	28
