	Novel	Characters	# of Re-Occurring Characters
76	Unconscious Comedians	['Gaillard, Madame Theodore', 'Nourrisson, Madame', 'Ronceret, Madame Fabien du', 'Rastignac, Eugene de', 'Vauvinet', 'Ridal, Fulgence', 'Canalis, Constant-Cyr-Melchior, Baron de', 'Marsay, Henri de', 'Nucingen, Baron Frederic de', 'Tillet, Ferdinand du', 'Schinner, Hippolyte', 'Nathan, Raoul', 'Trailles, Comte Maxime de', 'Stidmann', 'Giraud, Leon', 'Nathan, Madame Raoul', 'Fontaine, Madame', 'Gaillard, Theodore', 'Sinet, Seraphine', 'Massol', 'Gobseck, Jean-Esther Van', 'Lousteau, Etienne', 'Collin, Jacqueline', 'Lora, Leon de', 'Vignon, Claude', 'Cadine, Jenny', 'Brambourg, Comte de']	27
67	The Muse of the Department	['Turquet, Marguerite', 'Ronceret, Madame Fabien du', 'Hulot (Marshal)', 'Lupeaulx, Clement Chardin des', 'Rouget, Jean-Jacques', 'Falcon, Jean', 'Lebas', 'Nucingen, Baron Frederic de', 'Camusot', 'Beaupre, Fanny', 'Nathan, Raoul', 'Nathan, Madame Raoul', 'Cardot (Parisian notary)', 'Milaud', 'Bixiou, Jean-Jacques', 'La Baudraye, Madame Polydore Milaud de', 'Maufrigneuse, Duchesse de', 'Listomere, Baronne de', 'Lousteau, Etienne', 'Chargeboeuf, Melchior-Rene, Vicomte de', 'Bianchon, Horace', 'Vandenesse, Comtesse Felix de', 'Berthier, Madame (Felicie Cardot)', 'Grosstete (younger brother of F. Grosstete)', 'Navarreins, Duc de', 'Touches, Mademoiselle Felicite des']	26
36	Modeste Mignon	['Schinner, Hippolyte  The Purse', 'Chatillonest, De  A Woman of Thirty', 'Blondet, Emile  Jealousies of a Country Town', 'Estourny, Charles d’  Scenes from a Courtesan’s Life', 'Fontaine, Comte de  The Chouans', 'La Bastie la Briere, Ernest de  The Government Clerks', 'Maufrigneuse, Duchesse de  The Secrets of a Princess', 'Marsay, Henri de  The Thirteen', 'Cadignan, Prince de  The Secrets of a Princess', 'Serizy, Comte Hugret de  A Start in Life', 'Sommervieux, Theodore de  At the Sign of the Cat and Racket', 'Nucingen, Baronne Delphine de  Father Goriot', 'Herouville, Duc d’  The Hated Son', 'Dauriat  A Distinguished Provincial at Paris', 'Beaupre, Fanny  A Start in Life', 'La Bastie la Briere, Madame Ernest de (Modeste)  The Member for Arcis', 'Bixiou, Jean-Jacques  The Purse', 'Chaulieu, Henri, Duc de  Letters of Two Brides', 'Canalis, Constant-Cyr-Melchior, Baron de  Letters of Two Brides', 'Stidmann  Beatrix', 'Serizy, Vicomte de  A Start in Life', 'Desplein  The Atheist’s Mass', 'Grandlieu, Duc Ferdinand de  The Gondreville Mystery', 'Bridau, Joseph  The Purse', 'Loudon, Prince de  The Chouans']	25
52	The Chouans	['Casteran, De', 'Corentin', 'Brigaut, Major', 'Hulot (Marshal)', 'Falcon, Jean (alias Beaupied or Beau-Pied)', 'Leroi, Pierre', 'Fontaine, Comte de', 'Guenic, Gaudebert-Calyste-Charles, Baron du', 'Talleyrand-Perigord, Charles-Maurice de', 'Cibot, Jean (alias Pille-Miche)', 'Troisville, Guibelin, Vicomte de', 'Vissard, Charles-Amedee-Louis-Joseph Rifoel, Chevalier du', 'Berthier, Alexandre', 'Montauran, Marquis de (younger brother of Alphonse de)', 'Ferdinand', 'Verneuil, Duc de', 'Fouche, Joseph', 'Montauran, Marquis Alphonse de', 'La Billardiere, Athanase-Jean-Francois-Michel, Baron Flamet de', 'Esgrignon, Charles-Marie-Victor-Ange-Carol,', 'Loudon, Prince de', 'Valois, Chevalier de', 'Stael-Holstein (Anne-Louise-Germaine Necker) Baronne de', 'Louis XVIII., Louis-Stanislas-Xavier']	24
2	A Man of Business	['Turquet, Marguerite', 'Montcornet, Marechal, Comte de', 'Dudley, Lord', 'Nucingen, Baron Frederic de', 'Desroches (son)', 'Nathan, Raoul', 'Trailles, Comte Maxime de', 'Samanon', 'Chaboisseau', 'Hortense', 'Barbet', 'Cerizet', 'Esgrignon, Victurnien, Comte (then Marquis d’)', 'Cardot (Parisian notary)', 'Chocardelle, Mademoiselle', 'Bixiou, Jean-Jacques', 'Lousteau, Etienne', 'Claparon, Charles', 'La Palferine, Comte de', 'Estourny, Charles d’']	20
12	Another Study of Woman	['Blondet, Virginie (Madame Montcornet)  Jealousies of a Country Town', 'Laginski, Comte Adam Mitgislas  The Imaginary Mistress', 'Maufrigneuse, Duchesse de  The Secrets of a Princess', 'Marsay, Henri de  The Thirteen', 'Espard, Jeanne-Clementine-Athenais de Blamont-Chauvry, Marquise d’', 'Nucingen, Baronne Delphine de  Father Goriot', 'Ronquerolles, Marquis de  The Imaginary Mistress', 'Rastignac, Eugene de  Father Goriot', 'Bianchon, Horace  Father Goriot', 'The Imaginary Mistress', 'Nucingen, Baron Frederic de  The Firm of Nucingen', 'Touches, Mademoiselle Felicite des  Beatrix', 'Montriveau, General Marquis Armand de  The Thirteen', 'Canalis, Constant-Cyr-Melchior, Baron de  Letters of Two Brides', 'Blondet, Émile  Jealousies of a Country Town', 'Serizy, Comtesse de  A Start in Life', 'Dudley, Lord  The Lily of the Valley', 'Vandenesse, Comte Felix de  The Lily of the Valley', 'Portenduere, Vicomtesse Savinien de  Ursule Mirouet', 'Bridau, Joseph  The Purse']	20
62	The Jealousies of a Country Town	"['Casteran, De', 'Simeuse, Admiral de', 'Coudrai, Du', 'Gaillard, Madame Theodore (Suzanne)', 'Pombreton, Marquis de', 'Bordin', 'Ronceret, Du', 'Granson, Athanase', ""Esgrignon, Marie-Armande-Claire d'"", 'Troisville, Guibelin, Vicomte de', 'Chesnel (or Choisnel)', 'Verneuil, Duc de', 'Bousquier, Du (or Du Croisier or Du Bourguier)', 'Bousquier, Madame du (du Croisier) (Mlle. Cormon)', ""Esgrignon, Charles-Marie-Victor-Ange-Carol, Marquis d' (or Des Grignons)"", 'Navarreins, Duc de', 'Ronceret, Madame Du', 'Valois, Chevalier de', 'Lenoncourt, Duc de']"	19
11	An Old Maid	['Casteran, De', 'Simeuse, Admiral de', 'Coudrai, Du', 'Gaillard, Madame Theodore (Suzanne)', 'Pombreton, Marquis de', 'Bordin', 'Ronceret, Du', 'Granson, Athanase', 'Troisville, Guibelin, Vicomte de', 'Chesnel (or Choisnel)', 'Verneuil, Duc de', 'Bousquier, Du (or Du Croisier or Du Bourguier)', 'Bousquier, Madame du (du Croisier) (Mlle. Cormon)', 'Navarreins, Duc de', 'Ronceret, Madame Du', 'Valois, Chevalier de', 'Esgrignon, Marie-Armande-Claire d’', 'Esgrignon, Charles-Marie-Victor-Ange-Carol, Marquis d’ (or Des Grignons)', 'Lenoncourt, Duc de']	19
45	Sons of the Soil	['Casteran, De', 'Carigliano, Duchesse de', 'Montcornet, Marechal, Comte de', 'Minorets, The', 'Lupin, Amaury', 'Bourlac, Bernard-Jean-Baptiste-Macloud, Baron de', 'Marest, Georges', 'Soulanges, Comte Leon de', 'Laguerre, Mademoiselle', 'Ronquerolles, Marquis de', 'Scherbelloff, Princesse (or Scherbellof or Sherbelloff)', 'Steingel', 'Troisville, Guibelin, Vicomte de', 'Blondet, Emile', 'Soulanges, Comtesse Hortense de', 'La Roche-Hugon, Martial de', 'Brossette, Abbe', 'Navarreins, Duc de', 'Blondet, Virginie']	19
77	Ursula	['Nathan, Madame Raoul', 'Portenduere, Vicomte Savinien de', 'Rouvre, Marquis du', 'Portenduere, Vicomtesse Savinien de', 'Rouvre, Chevalier du', 'Dionis', 'Trailles, Comte Maxime de', 'Vandenesse, Marquise Charles de', 'Bouvard, Doctor', 'Schmucke, Wilhelm', 'Lupeaulx, Clement Chardin des', 'Estorade, Madame de l’', 'Kergarouet, Comte de', 'Serizy, Comtesse de', 'Marsay, Henri de', 'Rubempre, Lucien-Chardon de', 'Ronquerolles, Marquis de', 'Mirouet, Ursule (see Portenduere, Vicomtesse Savinien de)']	18
26	Gobseck	['Maurice (de Restaud’s valet)', 'Bidault (known as Gigonnet)', 'Derville', 'Palma (banker)', 'Gobseck, Sarah Van', 'Restaud, Comte de', 'Trailles, Comte Maxime de', 'Restaud, Comtesse Anastasie de', 'Grandlieu, Vicomte Juste de', 'Gobseck, Esther Van', 'Grandlieu, Vicomtesse de', 'Restaud, Ernest de', 'Restaud, Madame Ernest de', 'Gobseck, Jean-Esther Van', 'Derville, Madame', 'Restaud, Felix-Georges de', 'Grandlieu, Vicomtesse Juste de']	17
64	The Lily of the Valley	['Givry', 'Dudley, Lord', 'Listomere, Marquise de', 'Chessel, Madame de', 'Vandenesse, Comte Felix de', 'Listomere, Marquis de', 'Blamont-Chauvry, Princesse de', 'Brandon, Lady Marie Augusta', 'Lenoncourt-Givry, Duchesse de', 'Dudley, Lady Arabella', 'Birotteau, Abbe Francois', 'Lenoncourt, Duc de', 'Stanhope, Lady Esther', 'Marsay, Henri de', 'Manerville, Comtesse Paul de', 'Louis XVIII., Louis-Stanislas-Xavier']	16
38	Paz	['Bianchon, Horace', 'Nathan, Madame Raoul', 'Souchet, Francois', 'Turquet, Marguerite', 'Rouvre, Marquis du', 'Schinner, Hippolyte', 'Lelewel', 'Serizy, Comtesse de', 'Rouvre, Chevalier du', 'Serizy, Vicomte de', 'Steinbock, Count Wenceslas', 'La Palferine, Comte de', 'Paz, Thaddee', 'Ronquerolles, Marquis de', 'Laginski, Comte Adam Mitgislas']	15
3	A Prince of Bohemia	['Bianchon, Horace', 'Nathan, Madame Raoul', 'Tissot, Pierre-Francois', 'Popinot, Madame Anselme', 'Rochefide, Marquise de', 'Nathan, Raoul', 'Bruel, Jean Francois du', 'Chaffaroux', 'Marcas, Zephirin', 'Chocardelle, Mademoiselle', 'La Baudraye, Madame Polydore Milaud de', 'La Palferine, Comte de', 'Bruel, Claudine Chaffaroux, Madame du', 'Laguerre, Mademoiselle', 'Lousteau, Etienne']	15
	The Commission in Lunacy	['Bianchon, Horace', 'Godeschal, Francois-Claude-Marie', 'Espard, Chevalier d’', 'Negrepelisse, De', 'Desroches (son)', 'Popinot, Jean-Jules', 'Espard, Charles-Maurice-Marie-Andoche, Comte de Negrepelisse, Marquis d’', 'Camusot de Marville', 'Bordin', 'Grozier, Abbe', 'Nucingen, Baronne Delphine de', 'Espard, Jeanne-Clementine-Athenais de Blamont-Chauvry, Marquise d’', 'Jeanrenaud', 'Rabourdin, Madame', 'Mongenod, Frederic']	15
13	At the Sign of the Cat and Racket	['Aiglemont, General, Marquis Victor d’', 'Roguin, Madame', 'Rabourdin, Xavier', 'Sommervieux, Madame Theodore de (Augustine)', 'Guillaume', 'Camusot', 'Lebas, Madame Joseph (Virginie)', 'Lebas, Joseph', 'Birotteau, Cesar', 'Cardot, Jean-Jerome-Severin', 'Carigliano, Marechal, Duc de', 'Carigliano, Duchesse de', 'Sommervieux, Theodore de', 'Lourdois']	14
23	Ferragus	['Desmartes, Jules', 'Marsay, Henri de', 'Langeais, Duchesse Antoinette de', 'Desplein', 'Bourignard, Gratien-Henri-Victor-Jean-Joseph', 'Gruget, Madame Etienne', 'Desmartes, Madame Jules', 'Meynardie, Madame', 'Nucingen, Baronne Delphine de', 'Pamiers, Vidame de', 'Serizy, Comtesse de', 'Maulincour, Baronne de', 'Ronquerolles, Marquis de', 'Haudry (doctor)']	14
58	The Duchesse de Langeais	['Langeais, Duc de', 'Langeais, Duchesse Antoinette de', 'Montriveau, General Marquis Armand de', 'Keller, Madame Francois', 'Blamont-Chauvry, Princesse de', 'Talleyrand-Perigord, Charles-Maurice de', 'Grandlieu, Duc Ferdinand de', 'Navarreins, Duc de', 'Granville, Comtesse Angelique de', 'Soulanges, Comtesse Hortense de', 'Pamiers, Vidame de', 'Serizy, Comtesse de', 'Marsay, Henri de', 'Ronquerolles, Marquis de']	14
51	The Celibates	['Bianchon, Horace', 'Roguin', 'Nucingen, Baron Frederic de', 'Brigaut, Major', 'Matifat, Mademoiselle', 'Tillet, Ferdinand du', 'Roguin, Madame', 'Montriveau, General Marquis Armand de', 'Desplein', 'Gouraud, General, Baron', 'Tiphaine, Madame', 'Vinet', 'Keller, Adolphe']	13
71	The Thirteen	['Desmartes, Jules', 'Marsay, Henri de', 'Langeais, Duchesse Antoinette de', 'Desplein', 'Gruget, Madame Etienne', 'Desmartes, Madame Jules', 'Meynardie, Madame', 'Nucingen, Baronne Delphine de', 'Pamiers, Vidame de', 'Serizy, Comtesse de', 'Maulincour, Baronne de', 'Ronquerolles, Marquis de', 'Haudry (doctor)']	13
40	Pierrette	['Bianchon, Horace', 'Roguin', 'Nucingen, Baron Frederic de', 'Brigaut, Major', 'Matifat, Mademoiselle', 'Tillet, Ferdinand du', 'Roguin, Madame', 'Montriveau, General Marquis Armand de', 'Desplein', 'Gouraud, General, Baron', 'Tiphaine, Madame', 'Vinet', 'Keller, Adolphe']	13
27	Honorine	['Bianchon, Horace', 'Popinot, Jean-Jules', 'Gaudron, Abbe', 'Lora, Leon de', 'Gaudissart, Felix', 'Serizy, Comte Hugret de', 'Desplein', 'Loraux, Abbe', 'Vignon, Claude', 'Fontanon, Abbe', 'Bauvan, Comte Octave de', 'Granville, Vicomte de (later Comte)', 'Touches, Mademoiselle Felicite des']	13
4	A Second Home	['Bianchon, Horace', 'Granville, Baron Eugene de', 'Vandenesse, Comtesse Felix de', 'Granville, Vicomte de', 'Crochard, Charles', 'Roguin, Madame', 'Beaumesnil, Mademoiselle', 'Fontanon, Abbe', 'Granville, Comtesse Angelique de', 'Molineux, Jean-Baptiste', 'Granville, Vicomte de (later Comte)', 'Regnier, Claude-Antoine']	12
78	Vendetta	['Magus, Elie', 'Roguin', 'Bidault (known as Gigonnet)', 'Bonaparte, Lucien', 'Murat, Joachim, Prince', 'Thirion', 'Tiphaine, Madame', 'Vergniaud, Louis', 'Bonaparte, Napoleon', 'Rapp', 'Camusot de Marville, Madame']	11
49	The Ball at Sceaux	['Fontaine, Comte de', 'Palma (banker)', 'Beaudenord, Godefroid de', 'Portenduere, Vicomte Savinien de', 'Vandenesse, Marquise Charles de (Emilie de Fontaine)', 'Rastignac, Eugene de', 'Manerville, Paul Francois-Joseph, Comte de', 'Dudley, Lady Arabella', 'Kergarouet, Comte de', 'Marsay, Henri de', 'Louis XVIII., Louis-Stanislas-Xavier']	11
16	Colonel Chabert	['Godeschal, Francois-Claude-Marie', 'Derville', 'Desroches (son)', 'Murat, Joachim, Prince', 'Crottat, Alexandre', 'Ferraud, Comtesse', 'Navarreins, Duc de', 'Vergniaud, Louis', 'Grandlieu, Vicomtesse de', 'Bonaparte, Napoleon', 'Louis XVIII., Louis-Stanislas-Xavier']	11
6	A Woman of Thirty	['Camps, Madame Octave de (nee Cadignan)', 'Aiglemont, General, Marquis Victor d’', 'Desroches (son)', 'Chatillonest, De', 'Duroc, Gerard-Christophe-Michel', 'Saint-Hereen, Comtesse Moina de', 'Crottat, Alexandre', 'Vandenesse, Marquis Charles de', 'Bonaparte, Napoleon', 'Serizy, Comtesse de', 'Ronquerolles, Marquis de']	11
65	The Magic Skin	['Bianchon, Horace', 'Taillefer, Jean-Frederic', 'Joseph', 'Rastignac, Eugene de', 'Dudley, Lady Arabella', 'Navarreins, Duc de', 'Euphrasia', 'Massol', 'Canalis, Constant-Cyr-Melchior, Baron de', 'Aquilina']	10
8	Albert Savarus	['Hannequin, Leopold', 'Savaron de Savarus', 'Nueil, Gaston de', 'Tinti, Clarina', 'Savarus, Albert Savaron de', 'Schinner, Hippolyte', 'Rhetore, Duc Alphonse de', 'Beauseant, Vicomtesse de', 'Genovese', 'Jeanrenaud']	10
18	Domestic Peace	['Keller, Francois', 'Keller, Madame Francois', 'Soulanges, Comte Leon de', 'Murat, Joachim, Prince', 'Gondreville, Malin, Comte de', 'Bonaparte, Napoleon', 'La Roche-Hugon, Martial de', 'Soulanges, Comtesse Hortense de', 'Montcornet, Marechal, Comte de']	9
66	The Marriage Contract	['Magus, Elie', 'Vandenesse, Comte Felix de', 'Claes, Josephine de Temninck, Madame', 'Manerville, Paul Francois-Joseph, Comte de', 'Casa-Real, Duc de', 'Maulincour, Baronne de', 'Stevens, Dinah', 'Manerville, Comtesse Paul de', 'Marsay, Henri de']	9
43	Sarrasine	['Lanty, Comtesse de', 'Lanty, Marianina de', 'Zambinella', 'Rochefide, Marquise de', 'Vien, Joseph-Marie', 'Carigliano, Marechal, Duc de', 'Lanty, Filippo de', 'Sarrasine, Ernest-Jean', 'Lanty, Comte de']	9
19	Eugenie Grandet	['Nathan, Madame Raoul', 'Roguin', 'Keller, Francois', 'Grandet, Charles', 'Chaulieu, Eleonore, Duchesse de', 'Grandet, Victor-Ange-Guillaume', 'Lupeaulx, Clement Chardin des', 'Nucingen, Baronne Delphine de']	8
57	The Deserted Woman	['Beauseant, Marquis and Comte de', 'Nueil, Gaston de', 'Beauseant, Vicomte de', 'Beauseant, Marquise de', 'Jacques (M. de Beauseant’s butler)', 'Champignelles, De', 'Beauseant, Vicomtesse de']	7
68	The Purse	['Souchet, Francois', 'Schinner, Hippolyte', 'Halga, Chevalier du', 'Molineux, Jean-Baptiste', 'Kergarouet, Comte de', 'Bixiou, Jean-Jacques', 'Bridau, Joseph']	7
74	The Village Rector	['Bianchon, Horace', 'Brezacs (The)', 'Grandville, Vicomte de', 'Rastignac, Monseigneur Gabriel de', 'Navarreins, Duc de', 'Grossetete (younger brother of F. Grossetete)']	6
34	Massimilla Doni	['Varese, Princess of', 'Tinti, Clarina', 'Cane, Marco-Facino', 'Victorine', 'Varese, Emilio Memmi, Prince of', 'Vendramini, Marco']	6
47	The Alkahest	['Savaron de Savarus', 'Savarus, Albert Savaron de', 'Protez and Chiffreville', 'Chiffreville, Monsieur and Madame', 'Claes, Josephine de Temninck, Madame', 'Casa-Real, Duc de']	6
39	Pierre Grassou	['Magus, Elie', 'Grassou, Pierre', 'Lora, Leon de', 'Schinner, Hippolyte', 'Cardot (Parisian notary)', 'Bridau, Joseph']	6
73	The Vicar of Tours	['Villenoix, Pauline Salomon de', 'Bourbonne, De', 'Birotteau, Abbe Francois', 'Troubert, Abbe Hyacinthe', 'Listomere, Baronne de']	5
32	Louis Lambert	['Villenoix, Pauline Salomon de', 'Lambert, Louis', 'Meyraux', 'Stael-Holstein (Anne-Louise-Germaine Necker, Baronne de)', 'Lefebvre']	5
60	The Girl with the Golden Eyes	['Dudley, Lord', 'Bourignard, Gratien-Henri-Victor-Jean-Joseph', 'Manerville, Paul Francois-Joseph, Comte de', 'Marsay, Henri de', 'Ronquerolles, Marquis de']	5
35	Melmoth Reconciled	['Claparon, Charles', 'Tillet, Ferdinand du', 'Nucingen, Baronne Delphine de', 'Euphrasia', 'Aquilina']	5
46	Study of a Woman	['Bianchon, Horace', 'Listomere, Marquise de', 'Joseph', 'Listomere, Marquis de', 'Rastignac, Eugene de']	5
25	Gaudissart II	['Talleyrand-Perigord, Charles-Maurice de', 'Victorine', 'Ronceret, Fabien-Felicien du (or Duronceret)', 'Bixiou, Jean-Jacques']	4
33	Madame Firmiani	['Camps, Madame Octave de', 'Blamont-Chauvry, Princesse de', 'Bourbonne, De', 'Camps, Octave de']	4
1	A Drama on the Seashore	['Cambremer, Pierre', 'Lambert, Louis', 'Lefebvre', 'Villenoix, Pauline Salomon de']	4
61	The Illustrious Gaudissart	['Finot, Andoche', 'Gaudissart, Felix', 'Popinot, Anselme']	3
29	La Grenadiere	['Gaston, Louis', 'Gaston, Marie', 'Brandon, Lady Marie Augusta']	3
37	Parisians in the Country	['Finot, Andoche', 'Gaudissart, Felix', 'Popinot, Anselme']	3
69	The Red Inn	['Taillefer, Jean-Frederic', 'Taillefer, Victorine']	2
21	Facino Cane	['Vendramini, Marco', 'Cane, Marco-Facino']	2
9	An Episode Under the Terror	['Beauseant, Marquis and Comte de', 'Ragon, M. and Mme.']	2
24	Gambara	['Varese, Emilio Memmi, Prince of', 'Varese, Princess of']	2
48	The Atheist's Mass	['Bianchon, Horace', 'Desplein']	2
28	La Grande Breteche	['Bianchon, Horace']	1
55	The Country Doctor	['Murat, Joachim, Prince']	1
7	Adieu	['Granville, Vicomte de']	1
79	Z. Marcas	['Marcas, Zephirin']	1
