Id,Label,POS_Category,Total_Frequency
monter,monter,VERB,68
passion,passion,NOUN,68
Bérénice,Bérénice,PROPN,67
amant,amant,NOUN,67
cour,cour,NOUN,67
gros,gros,ADJ,66
loge,loge,NOUN,66
manquer,manquer,VERB,66
nécessaire,nécessaire,ADJ,66
tirer,tirer,VERB,66
valoir,valoir,VERB,66
directeur,directeur,NOUN,65
joli,joli,ADJ,65
misère,misère,NOUN,65
tomber,tomber,VERB,65
Merlin,Merlin,PROPN,64
Vernou,Vernou,PROPN,64
bras,bras,NOUN,64
droit,droit,NOUN,64
garçon,garçon,NOUN,64
roman,roman,NOUN,64
Dieu,Dieu,PROPN,63
littéraire,littéraire,ADJ,63
public,public,NOUN,63
mort,mort,NOUN,62
parti,parti,NOUN,62
sourire,sourire,NOUN,62
littérature,littérature,NOUN,61
prêtre,prêtre,NOUN,61
ancien,ancien,ADJ,60
apporter,apporter,VERB,60
boutique,boutique,NOUN,60
envoyer,envoyer,VERB,60
profond,profond,ADJ,60
soirée,soirée,NOUN,60
sou,sou,NOUN,60
deviner,deviner,VERB,59
oreille,oreille,NOUN,59
oublier,oublier,VERB,59
parisien,parisien,ADJ,59
second,second,ADJ,59
somme,somme,NOUN,59
sorte,sorte,NOUN,59
figure,figure,NOUN,58
salon,salon,NOUN,58
Marion,Marion,PROPN,57
apprendre,apprendre,VERB,57
coûter,coûter,VERB,57
intelligence,intelligence,NOUN,57
larme,larme,NOUN,57
travailler,travailler,VERB,57
vieillard,vieillard,NOUN,57
amitié,amitié,NOUN,56
côté,côté,NOUN,56
ouvrage,ouvrage,NOUN,56
table,table,NOUN,56
état,état,NOUN,56
feu,feu,NOUN,55
fond,fond,NOUN,55
habit,habit,NOUN,55
mariage,mariage,NOUN,55
messieur,messieur,NOUN,55
position,position,NOUN,55
promener,promener,VERB,55
suivre,suivre,VERB,55
manuscrit,manuscrit,NOUN,54
nuit,nuit,NOUN,54
phrase,phrase,NOUN,54
Métivier,Métivier,PROPN,53
acte,acte,NOUN,53
arrêter,arrêter,VERB,53
comtesse,comtesse,NOUN,53
nature,nature,NOUN,53
permettre,permettre,VERB,53
silence,silence,NOUN,53
tendre,tendre,VERB,53
accepter,accepter,VERB,52
compte,compte,NOUN,52
espérance,espérance,NOUN,52
fleur,fleur,NOUN,52
mourir,mourir,VERB,52
noir,noir,ADJ,52
peine,peine,NOUN,52
promettre,promettre,VERB,52
sembler,sembler,VERB,52
service,service,NOUN,52
voiture,voiture,NOUN,52
éprouver,éprouver,VERB,52
œil,œil,NOUN,52
Naïs,Naïs,PROPN,51
froid,froid,ADJ,51
honneur,honneur,NOUN,51
inconnu,inconnu,ADJ,51
joie,joie,NOUN,51
partir,partir,VERB,51
baron,baron,NOUN,50
conversation,conversation,NOUN,50
couleur,couleur,NOUN,50
désespoir,désespoir,NOUN,50
espèce,espèce,NOUN,50
lever,lever,VERB,50
loi,loi,NOUN,50
Rastignac,Rastignac,PROPN,49
coucher,coucher,VERB,49
écria,écria,VERB,49
Postel,Postel,PROPN,48
changer,changer,VERB,48
descendre,descendre,VERB,48
front,front,NOUN,48
librairie,librairie,NOUN,48
ministre,ministre,NOUN,48
obliger,obliger,VERB,48
question,question,NOUN,48
rôle,rôle,NOUN,48
situation,situation,NOUN,48
spirituel,spirituel,ADJ,48
Michel,Michel,PROPN,47
accompagner,accompagner,VERB,47
chef,chef,NOUN,47
expliquer,expliquer,VERB,47
forme,forme,NOUN,47
manger,manger,VERB,47
écouter,écouter,VERB,47
Matifat,Matifat,PROPN,46
employer,employer,VERB,46
essayer,essayer,VERB,46
placer,placer,VERB,46
qualité,qualité,NOUN,46
appartenir,appartenir,VERB,45
chapeau,chapeau,NOUN,45
désir,désir,NOUN,45
hasard,hasard,NOUN,45
hôtel,hôtel,NOUN,45
ouvrir,ouvrir,VERB,45
pays,pays,NOUN,45
produire,produire,VERB,45
botte,botte,NOUN,44
charger,charger,VERB,44
critique,critique,NOUN,44
geste,geste,NOUN,44
mouvement,mouvement,NOUN,44
opinion,opinion,NOUN,44
rire,rire,VERB,44
tuer,tuer,VERB,44
écrivain,écrivain,NOUN,44
horrible,horrible,ADJ,43
marchand,marchand,NOUN,43
négociant,négociant,NOUN,43
scène,scène,NOUN,43
semblable,semblable,ADJ,43
valeur,valeur,NOUN,43
annoncer,annoncer,VERB,42
courage,courage,NOUN,42
embrasser,embrasser,VERB,42
feuille,feuille,NOUN,42
histoire,histoire,NOUN,42
part,part,NOUN,42
pousser,pousser,VERB,42
Hector,Hector,PROPN,41
amener,amener,VERB,41
ange,ange,NOUN,41
cabinet,cabinet,NOUN,41
célèbre,célèbre,ADJ,41
partie,partie,NOUN,41
saisir,saisir,VERB,41
souvenir,souvenir,VERB,41
vertu,vertu,NOUN,41
ambition,ambition,NOUN,40
brillant,brillant,ADJ,40
circonstance,circonstance,NOUN,40
conduire,conduire,VERB,40
continuer,continuer,VERB,40
difficile,difficile,ADJ,40
difficulté,difficulté,NOUN,40
juger,juger,VERB,40
réussir,réussir,VERB,40
signer,signer,VERB,40
tourner,tourner,VERB,40
année,année,NOUN,39
coin,coin,NOUN,39
courir,courir,VERB,39
crier,crier,VERB,39
défendre,défendre,VERB,39
ennemi,ennemi,NOUN,39
faveur,faveur,NOUN,39
libéral,libéral,ADJ,39
magnifique,magnifique,ADJ,39
